RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts
1,15634602,Hargrave,619,France,Female,42,2,0,1
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1
3,15619304,Onio,502,France,Female,42,8,159660.8,3
4,15701354,Boni,699,France,Female,39,1,0,2
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2
7,15592531,Bartlett,822,France,Male,50,7,0,2
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4
9,15792365,He,501,France,Male,44,4,142051.07,2
10,15592389,H?,684,France,Male,27,2,134603.88,1
11,15767821,Bearce,528,France,Male,31,6,102016.72,2
12,15737173,Andrews,497,Spain,Male,24,3,0,2
13,15632264,Kay,476,France,Female,34,10,0,2
14,15691483,Chin,549,France,Female,25,5,0,2
15,15600882,Scott,635,Spain,Female,35,7,0,2
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1
18,15788218,Henderson,549,Spain,Female,24,9,0,2
19,15661507,Muldrow,587,Spain,Male,45,6,0,1
20,15568982,Hao,726,France,Female,24,6,0,2
21,15577657,McDonald,732,France,Male,41,8,0,2
22,15597945,Dellucci,636,Spain,Female,32,8,0,2
23,15699309,Gerasimov,510,Spain,Female,38,4,0,1
24,15725737,Mosman,669,France,Male,46,3,0,2
25,15625047,Yen,846,France,Female,38,5,0,1
26,15738191,Maclean,577,France,Male,25,3,0,2
27,15736816,Young,756,Germany,Male,36,2,136815.64,1
28,15700772,Nebechi,571,France,Male,44,9,0,2
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2
31,15589475,Azikiwe,591,Spain,Female,39,3,0,3
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2
34,15659428,Maggard,520,Spain,Female,42,6,0,2
35,15732963,Clements,722,Spain,Female,29,9,0,2
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1
39,15717426,Armstrong,850,France,Male,36,7,0,1
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2
41,15619360,Hsiao,472,Spain,Male,40,4,0,1
42,15738148,Clarke,465,France,Female,51,8,122522.32,1
43,15687946,Osborne,556,France,Female,61,2,117419.35,1
44,15755196,Lavine,834,France,Female,49,2,131394.56,1
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2
53,15683553,O'Brien,788,France,Female,33,5,0,2
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1
57,15630053,Tsao,656,France,Male,45,5,127864.4,1
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1
59,15623944,T'ien,511,Spain,Female,66,4,0,1
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1
61,15651280,Hunter,742,Germany,Male,35,5,136857,1
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2
70,15755648,Pisano,675,France,Female,21,8,98373.26,1
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4
72,15620344,McKee,813,France,Male,29,6,0,1
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2
75,15770811,Wallace,519,France,Male,36,9,0,2
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2
77,15614049,Hu,664,France,Male,55,8,0,2
78,15662085,Read,678,France,Female,32,9,0,1
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2
81,15706021,Buley,665,France,Female,34,1,96645.54,2
82,15663706,Leonard,777,France,Female,32,2,0,1
83,15641732,Mills,543,France,Female,36,3,0,2
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1
85,15738751,Beit,493,France,Female,46,4,0,2
86,15805254,Ndukaku,652,Spain,Female,75,10,0,2
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1
88,15625759,Rowley,729,France,Male,30,9,0,2
89,15622897,Sharpe,646,France,Female,46,4,0,3
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2
91,15757535,Heap,647,Spain,Female,44,5,0,3
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2
93,15809248,Cole,524,France,Female,36,10,0,2
94,15640635,Capon,769,France,Male,29,8,0,2
95,15676966,Capon,730,Spain,Male,42,4,0,2
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2
99,15604348,Allard,710,Spain,Male,22,8,0,2
100,15633059,Fanucci,413,France,Male,34,9,0,2
101,15808582,Fu,665,France,Female,40,6,0,1
102,15743192,Hung,623,France,Female,44,6,0,2
103,15580146,Hung,738,France,Male,31,9,82674.15,1
104,15776605,Bradley,528,Spain,Male,36,7,0,2
105,15804919,Dunbabin,670,Spain,Female,65,1,0,1
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1
118,15698028,Duncan,506,France,Female,41,1,0,2
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1
123,15690673,Cameron,656,France,Female,39,6,0,2
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1
125,15779659,Zetticci,625,France,Female,28,3,0,1
126,15627360,Fuller,432,France,Male,42,9,152603.45,1
127,15671137,MacDonald,549,France,Female,52,1,0,1
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1
129,15575492,Kennedy,828,France,Female,41,7,0,2
130,15591607,Fernie,770,France,Male,24,9,101827.07,1
131,15740404,He,758,France,Female,34,3,0,2
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1
133,15677871,Cocci,687,France,Male,38,9,122570.87,1
134,15642004,Alekseeva,686,France,Male,25,1,0,2
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2
137,15802381,Li,461,Germany,Female,34,5,63663.93,1
138,15610156,Ma,637,France,Male,40,2,133463.1,1
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1
142,15724944,Tien,663,France,Male,34,7,0,2
143,15628145,Forwood,682,France,Female,43,5,125851.93,1
144,15713483,Greeves,793,Spain,Male,52,2,0,1
145,15612350,Taylor,691,France,Female,31,5,40915.55,1
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1
150,15794413,Harris,416,France,Male,32,0,0,2
151,15650237,Morgan,754,Spain,Female,32,7,0,2
152,15759618,Alexeeva,535,France,Female,48,9,0,1
153,15811589,Metcalfe,716,Spain,Male,42,8,0,2
154,15689044,Humphries,539,France,Male,37,2,127609.59,1
